variable,stage,state_type,defined_by_formula_id,source_v4_line,observable,notes
"f_pool_{s,k}",flotation,derived,V5_0344,1639,no,
f_pul,magnetic,derived,V5_0345,1236,no,
f_pul_sp,magnetic,setpoint,V5_0346,1234,no,
f_pump,tower_mill,derived,V5_0347,1314,no,
f_pump_sp,tower_mill,setpoint,V5_0348,1313,no,
f_ring,magnetic,derived,V5_0349,1237,no,
f_ring_sp,magnetic,setpoint,V5_0350,1235,no,
"f_{s,j}",flotation,derived,V5_0351,1499,no,
"f_{s,j}_sp",flotation,setpoint,V5_0352,1498,no,
floatability_difficulty,flotation,derived,V5_0353,1478,no,
froth_error,flotation,derived,V5_0354,755,no,
froth_j,flotation,derived,V5_0355,950,no,
froth_j_rate,flotation,derived,V5_0356,945,no,
"froth_j_rate_{s,c}",flotation,derived,V5_0357,1612,no,
"froth_j_{s,c}",flotation,derived,V5_0358,1616,no,
froth_stability,flotation,derived,V5_0359,858,no,
"froth_stability_{s,c}",flotation,derived,V5_0360,1566,no,
fx_ah5_power,flotation,dcs,V5_0361,1705,yes,
fx_ah6_power,flotation,dcs,V5_0362,1706,yes,
fx_blower{b}_pressure,flotation,dcs,V5_0363,1693,yes,
fx_nt{s}_motor_current,flotation,dcs,V5_0364,1692,yes,
fx_nt{s}_underflow_density,flotation,dcs,V5_0365,1691,yes,
fx_s1_ft1701,flotation,dcs,V5_0366,1694,yes,
fx_s1_ft1702,flotation,dcs,V5_0367,1695,yes,
fx_s2_ft2701,flotation,dcs,V5_0368,1696,yes,
fx_s2_ft2702,flotation,dcs,V5_0369,1697,yes,
fx_s{s}_k6_level,flotation,dcs,V5_0370,1690,yes,
fx_s{s}_ph,flotation,dcs,V5_0371,1689,yes,
fx_s{s}_pool{k}_level,flotation,dcs,V5_0372,1698,yes,
fx_s{s}_pool{k}_pump_curr,flotation,dcs,V5_0373,1700,yes,
fx_s{s}_pool{k}_pump_freq,flotation,dcs,V5_0374,1699,yes,
fx_s{s}_tk{k}_mixer_curr,flotation,dcs,V5_0375,1702,yes,
fx_s{s}_tk{k}_steam_fb,flotation,dcs,V5_0376,1704,yes,
fx_s{s}_tk{k}_steam_sp,flotation,dcs,V5_0377,1703,yes,
fx_s{s}_tk{k}_temp,flotation,dcs,V5_0378,1701,yes,
fx_s{s}_{c}_air_flow,flotation,dcs,V5_0379,1683,yes,
fx_s{s}_{c}_air_sp,flotation,dcs,V5_0380,1684,yes,
fx_s{s}_{c}_bv_pos,flotation,dcs,V5_0381,1685,yes,
fx_s{s}_{c}_level,flotation,dcs,V5_0382,1680,yes,
fx_s{s}_{c}_level_valve_fb,flotation,dcs,V5_0383,1682,yes,
fx_s{s}_{c}_level_valve_sp,flotation,dcs,V5_0384,1681,yes,
fx_s{s}_{c}_motor_curr,flotation,dcs,V5_0385,1686,yes,
fx_s{s}_{drug}_curr,flotation,dcs,V5_0386,1688,yes,
fx_s{s}_{drug}_freq,flotation,dcs,V5_0387,1687,yes,
gas_holdup,flotation,derived,V5_0388,888,no,
"gas_holdup_{s,c}",flotation,derived,V5_0389,1558,no,
grade_cell_j,flotation,derived,V5_0390,942,no,
"grade_cell_j_{s,c}",flotation,derived,V5_0391,1609,no,
grind_difficulty,tower_mill,derived,V5_0392,1363,no,
h_froth,flotation,derived,V5_0393,869,no,
